ticker,industry,run_time
BCA,basic_resources,2024-06-19 01:07:47
CST,basic_resources,2024-06-19 01:07:47
LCM,basic_resources,2024-06-19 01:07:47
MEL,basic_resources,2024-06-19 01:07:47
SHA,basic_resources,2024-06-19 01:07:47
SMC,basic_resources,2024-06-19 01:07:47
HHP,basic_resources,2024-06-19 01:07:47
KSB,basic_resources,2024-06-19 01:07:47
KSV,basic_resources,2024-06-19 01:07:47
DHM,basic_resources,2024-06-19 01:07:47
HLA,basic_resources,2024-06-19 01:07:47
TKG,basic_resources,2024-06-19 01:07:47
L14,construction__materials,2024-06-19 01:07:47
L45,construction__materials,2024-06-19 01:07:47
LCG,construction__materials,2024-06-19 01:07:47
MCO,construction__materials,2024-06-19 01:07:47
NED,construction__materials,2024-06-19 01:07:47
TTL,construction__materials,2024-06-19 01:07:47
VW1,construction__materials,2024-06-19 01:07:47
UDC,construction__materials,2024-06-19 01:07:47
CCD,construction__materials,2024-06-19 01:07:47
VMC,construction__materials,2024-06-19 01:07:47
THG,construction__materials,2024-06-19 01:07:47
BCR,construction__materials,2024-06-19 01:07:47
TA3,construction__materials,2024-06-19 01:07:47
S55,construction__materials,2024-06-19 01:07:47
BRM,construction__materials,2024-06-19 01:07:47
C32,construction__materials,2024-06-19 01:07:47
BHV,construction__materials,2024-06-19 01:07:47
ACC,construction__materials,2024-06-19 01:07:47
ACE,construction__materials,2024-06-19 01:07:47
BCC,construction__materials,2024-06-19 01:07:47
CMS,construction__materials,2024-06-19 01:07:47
MVC,construction__materials,2024-06-19 01:07:47
CI5,construction__materials,2024-06-19 01:07:47
PTE,construction__materials,2024-06-19 01:07:47
SCC,construction__materials,2024-06-19 01:07:47
SD1,construction__materials,2024-06-19 01:07:47
SD2,construction__materials,2024-06-19 01:07:47
SD3,construction__materials,2024-06-19 01:07:47
SDJ,construction__materials,2024-06-19 01:07:47
NHA,construction__materials,2024-06-19 01:07:47
PC1,construction__materials,2024-06-19 01:07:47
